Scraped Name,Exact Match,Potential Match,Needs Review,Club,Team,Matches,Wins,Losses,Draws,Win %,Record,Points,Divisions
Vaughan Riemens,,,YES,Krugersdorp Golf Club,KDP BB B,10,5,4,1,50.00%,2005/04/01,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2023 - Betterball League (Men) / E Division"
Michael Downing,,,YES,Krugersdorp Golf Club,KDP BB A,5,4,1,0,80.00%,4-1-0,0,"2021 - Betterball / B, 2020 - Betterball / B"
Piet Eloff,,,YES,Krugersdorp Golf Club,KDP BB B,12,4,5,3,33.30%,2004/05/03,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division"
Dale Joubert,,,YES,Krugersdorp Golf Club,KDP BB A,8,3,2,3,37.50%,2003/02/03,0,"2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / C Division"
Johan Smit,,,YES,Krugersdorp Golf Club,KDP BB B,9,3,6,0,33.30%,3-6-0,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division"
Damian Smit,,,YES,Krugersdorp Golf Club,KDP BB A,5,2,3,0,40.00%,2-3-0,0,"2021 - Betterball / B, 2022 - Betterball League (Men) / B Division"
Marius Kumm,,,YES,Krugersdorp Golf Club,KDP BB A,11,2,7,2,18.20%,2002/07/02,0,"2025 CGGU League Season - Betterball League / D Division, 2024 CGGU League Season - Betterball League (Men) / C Division"
Mike van der Walt,,,YES,Krugersdorp Golf Club,KDP BB A,5,2,3,0,40.00%,2-3-0,0,"2025 CGGU League Season - Betterball League / D Division, 2018 - Betterball / B Div"
Alwyn van der Walt,,,YES,Krugersdorp Golf Club,KDP BB A,3,1,2,0,33.30%,1-2-0,0,2022 - Betterball League (Men) / B Division
Andries Joubert,,,YES,Krugersdorp Golf Club,KDP BB A,2,1,0,1,50.00%,1-0-1,0,"2019 - Betterball / A, 2018 - Betterball / B Div"
Chris Du Plessis,,,YES,Krugersdorp Golf Club,KDP BB A,6,1,4,1,16.70%,2001/04/01,0,2025 CGGU League Season - Betterball League / C Division
DEREK LEVIN,,,YES,Krugersdorp Golf Club,KDP BB A,1,1,0,0,100.00%,1-0-0,0,2025 CGGU League Season - Betterball League / C Division
Francois Du Toit,,,YES,Krugersdorp Golf Club,KDP BB A,3,1,2,0,33.30%,1-2-0,0,2024 CGGU League Season - Betterball League (Men) / C Division
Jared Shaw,,,YES,Krugersdorp Golf Club,KDP BB A,3,1,2,0,33.30%,1-2-0,0,2022 - Betterball League (Men) / B Division
Stephen Rossiter,,,YES,Krugersdorp Golf Club,KDP BB B,6,1,3,2,16.70%,2001/03/02,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2023 - Betterball League (Men) / E Division"
wikus lotz,,,YES,Krugersdorp Golf Club,KDP BB A,1,1,0,0,100.00%,1-0-0,0,2020 - Betterball / B
Bradley Theunissen,,,YES,Krugersdorp Golf Club,KDP BB A,6,0,5,1,0.00%,2000/05/01,0,2019 - Betterball / A
Dane Poulter,,,YES,Krugersdorp Golf Club,KDP BB A,3,0,2,1,0.00%,2000/02/01,0,"2021 - Betterball / B, 2020 - Betterball / B"
Donald Smith,,,YES,Krugersdorp Golf Club,KDP BB A,1,0,1,0,0.00%,0-1-0,0,2023 - Betterball League (Men) / C Division
Faizel Jeena,,,YES,Krugersdorp Golf Club,KDP BB A,3,0,3,0,0.00%,0-3-0,0,2021 - Betterball / B
Gavin Hutchinson,,,YES,Krugersdorp Golf Club,KDP BB A,1,0,1,0,0.00%,0-1-0,0,2019 - Betterball / A
Mattheus Maritz,Matt Maritz,,,Krugersdorp Golf Club,KDP BB A,2,0,2,0,0.00%,0-2-0,0,2024 CGGU League Season - Betterball League (Men) / C Division
Michael Van Huyssteen,,,YES,Krugersdorp Golf Club,KDP BB B,1,0,1,0,0.00%,0-1-0,0,2024 CGGU League Season - Betterball League (Men) / D Division
Rudolph Van Tonder,,,YES,Krugersdorp Golf Club,KDP BB A,2,0,2,0,0.00%,0-2-0,0,"2021 - Betterball / B, 2022 - Betterball League (Men) / B Division"
Ian Scott,Ian Scott,,,Krugersdorp Golf Club,KDP BB A,57,33,18,6,57.90%,33-18-6,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Grant Syme,Grant Syme,,,Krugersdorp Golf Club,KDP BB A,53,31,19,3,58.50%,31-19-3,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Pieter de la Rey,Pieter de la Rey,,,Krugersdorp Golf Club,KDP BB A,60,28,26,6,46.70%,28-26-6,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Greg Park,Greg Park,,,Krugersdorp Golf Club,KDP BB A,38,17,18,3,44.70%,17-18-3,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2021 - Betterball / B, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
